DDC,Title,description
838,Anna Haag and her secret diary of the Second World War :,"""How was it possible for a well-educated nation to support a regime that made it a crime to think for yourself? This was the key question for the Stuttgart-based author Anna Haag (1888-1982), the democratic feminist whose anti-Nazi diaries are analysed in this book. Like Victor Klemperer, she deconstructed German political propaganda day by day, giving her critique a gendered focus by challenging the ethos of masculinity that sustained the Nazi regime. This pioneering study interprets her diaries, secretly written in twenty notebooks now preserved at the Stuttgart City Archive, as a fascinating source for the study of everyday life in the Third Reich. The opening sections sketch the paradigms that shaped Haag's creativity, analysing the impact of the First World War and the feminist and pacifist commitments that influenced her literary and journalistic writings. Extensive quotations from the diaries are provided, with English translations, to illustrate her responses to the cataclysms that followed the rise of Hitler, from the military conquests and Jewish deportations to the devastation of strategic bombing. The book concludes with a chapter that traces the links between Haag's critique of military tyranny and her contribution to post-war reconstruction."" --"
838,The aphorisms of Franz Kafka /,"""A splendid new translation of an extraordinary work of modern literature-featuring facing-page commentary by Kafka's acclaimed biographer. In 1917 and 1918, Franz Kafka wrote a set of more than 100 aphorisms, known as the Zürau aphorisms, after the Bohemian village in which he composed them. Among the most mysterious of Kafka's writings, they explore philosophical questions about truth, good and evil, and the spiritual and sensory world. This is the first annotated, bilingual volume of these extraordinary writings, which provide great insight into Kafka's mind. Edited, introduced, and with commentaries by preeminent Kafka biographer and authority Reiner Stach, and freshly translated by Shelley Frisch, this beautiful volume presents each aphorism on its own page in English and the original German, with accessible and enlightening notes on facing pages.The most complex of Kafka's writings, the aphorisms merge literary and analytical thinking and are radical in their ideas, original in their images and metaphors, and exceptionally condensed in their language. Offering up Kafka's characteristically unsettling charms, the aphorisms at times put readers in unfamiliar, even inhospitable territory, which can then turn luminous: ""I have never been in this place before: breathing works differently, and a star shines next to the sun, more dazzlingly still.""Above all, this volume reveals that these multifaceted gems aren't far removed from Kafka's novels and stories but are instead situated squarely within his cosmos-arguably at its very core. Long neglected by Kafka readers and scholars, his aphorisms have finally been given their full due here""--"
838,Biographical fiction :,"""In this anthology, authors and scholars of biofiction reflect on, clarify, and define the nature of this unique genre that skilfully and strategically blends the fictional and the factual, specifying precisely how it can engage the historical and critique the political more effectively than traditional forms of fiction"" --"
838,The Cambridge companion to Walter Benjamin /,"This Companion offers a comprehensive introduction to the work and thought of the highly influential twentieth-century critic and theorist Walter Benjamin. The volume provides examinations of the different aspects of Benjamin's work that have had a significant effect on contemporary critical and historical thought. Topics discussed by experts in the field include Benjamin's relation to the avant-garde movements of his time, the form of the work of art, his theories on language and mimesis, modernity, his relation to Brecht and the Frankfurt School, his significance and relevance to modern cultural studies, his formative interpretation of Romanticism, and his autobiographical writings. The volume is aimed at readers who may be coming to Benjamin for the first time or who have some knowledge of Benjamin but would like to know more about the issues and concepts central to his work. Additional material includes a guide to further reading and a chronology."
838,Clairvoyant of the small :,"The great Swiss-German modernist author Robert Walser lived eccentrically on the fringes of society, shocking his Berlin friends by enrolling in butler school and later developing an urban-nomad lifestyle in the Swiss capital, Bern, before checking himself into a psychiatric clinic. A connoisseur of power differentials, his pronounced interest in everything inconspicuous and modest-social outcasts and artists as well as the impoverished, marginalized, and forgotten-prompted W. G. Sebald to dub him ""a clairvoyant of the small."" His revolutionary use of short prose forms had an enormous influence on Franz Kafka, Walter Benjamin, Robert Musil, and many others.--Provided by publisher."
838,Constructing authorship in the work of Günter Grass /,"This book traces a longstanding concern with issues of authorship throughout the work of Gunter Grass, Germany's best-known contemporary writer and public intellectual. Through detailed close-readings of all of his major literary works from 1970 onwards and careful analysis of his political writings from 1965 to 2005, it argues that Grass's tendency to insert clearly recognisable self-images into his literary texts represents a coherent and calculated reaction to his constant exposure in the media-led public sphere. It underlines the degree of play which has characterised Grass's relationship to this sphere and himself as part of it and explains how a concern with the very concept of authorship has conditioned the way his work as a whole has developed on both thematic and structural levels. The major achievement of this study is to develop a new interpretative paradigm for Grass's work. It explains for the first time how his playful tendency to manipulate his own authorial image conditions all levels of his texts and is equally manifest in literary and political realms."
838,The diaries /,"An essential new translation of the author's complete, uncensored diaries - a revelation of the idiosyncrasies and rough edges of one of the twentieth century's most influential writers'The writing glimmers with sensitivity, and openness to the world' - The Wall Street JournalDating from 1909 to 1923, Franz Kafka's Diaries."
838,The essential Goethe /,"The Essential Goethe is the most comprehensive and representative one-volume collection of Goethe's writings ever published in English. It provides English-language readers easier access than ever before to the widest range of work by one of the greatest writers in world history. Goethe's work as playwright, poet, novelist, and autobiographer is fully represented. In addition to the works for which he is most famous, including Faust Part I and the lyric poems, the volume features important literary works that are rarely published in English--including the dramas Egmont, Iphigenia in Tauris, and Torquato Tasso and the bildungsroman Wilhelm Meister's Apprenticeship, a foundational work in the history of the novel. The volume also offers a selection of Goethe's essays on the arts, philosophy, and science, which give access to the thought of a polymath unrivalled in the modern world. Primarily drawn from Princeton's authoritative twelve-volume Goethe edition, the translations are highly readable and reliable modern versions by scholars of Goethe. The volume also features an extensive introduction to Goethe's life and works by volume editor Matthew Bell."
838,Karl Kraus and the critics /,"Karl Kraus and the Critics, the first study devoted entirely to a century of critical reactions to this controversial satirist, who was both deified and vilified in his lifetime and in the six decades since his death, attempts to reduce an enormous amount of criticism to manageable dimensions and to give a typology of this commentary. By means of copious quotation from both major and minor studies as well as reliable translation it provides some access to criticism that has been published only in German. A chronology of Kraus's life and works and an extensive bibliography of both primary and secondary writings are intended to enhance the reference value of this book and to stimulate further reading and research."
838,The labyrinth /,"""Jens Baggesen's The Labyrinth (1792-93) is a genre-bending and highly personal travel book that follows the young Danish author's journey, made in 1789, from Copenhagen through Germany to the Swiss border at Basel. In its outer form, it follows the conventions of travel writing: describing the cities, landscapes, and notable people encountered on the route, while also offering critical commentary on art, architecture, theatre, and literature, mixed with reactions to the unfolding French Revolution. However, Baggesen finds contemporary travel writing to be pedantic and dry and is determined to make his own account as engaging and personal as possible. Based on the principle that 'nothing is more necessary in a volume of travels than a traveller', the narrative eschews a focus on prescribed sights and instead foregrounds his individual responses to the places and people he encounters. Baggesen's account of his journey is not simply sentimental, but rather moves through an array of different, often conflicting affective and intellectual register: from dejection to wit, whimsy, and ebullient joy, including enchanted observations of nature as well as cosmopolitan reveries about the brotherhood of nations""--Amazon."
