DDC,Title,description
102,50 teaching & learning approaches :,"This reader-friendly and accessible text introduces 50 teaching and learning approaches and explores how they work in practice by taking an honest look at the advantages and disadvantages of each one. For each approach, the authors include in-practice examples taken from a range of teaching contexts. The text also offers clear support for teachers on how they can assess learners' progress when using each approach. This focus on the need to see and measure the learning that is taking place supports the reader to concentrate on the learning and not be distracted with the newness of different approaches."
102,AI and the future of banking /,"""AI and the Future of Banking is an informative guide on the applications of Cognitive Analytics/Artificial Intelligence (AI) to the banking industry. The book will equip any industry participant, including new entrants to the industry, with the essential information to understand the implications of data and analytics on their roles, responsibilities and personal career development, with focus on the use of analytics to create operational effectiveness, customer retention and finance and risk management. While a combination of theory and published case studies, it will not be a technical book (i.e. about IT architecture, platforms and algorithms) or a detailed review of a specific working area but rather an easy read for those with limited or no IT background. The book will also discuss the concept of data-driven 'Open Banking,' which is a process that uses 'APIs' to share information securely, without having to reveal passwords. IDC say that by 2020, 50% of all businesses will be using cognitive analytics, which are intelligent and self-learning systems that respond to human voices rather than needing to be 'coded'. The use of Cognitive Analytics/Artificial Intelligence (AI) Systems and data in banking is set to accelerate. The cognitive or a 'AI' computing market is estimated to exceed $12.0 Billion by 2022, with banking identified as an 'early-mover' industry. Gartner say that AI will be mainstream for banking in 5-10 years. There is already evidence that early-mover banks are beginning to investigate these new technologies. However, there are many laggards and market maturity is inconsistent, with knowledge transfer being critical at this stage""--"
102,Ancient plants and people :,"""Mangroves and rice, six-row brittle barley and einkorn wheat. Ancient crops for prehistoric people. What do they have in common? All tell us about the lives and cultures of long ago, as humans cultivated or collected these plants for food. Exploring these and other important plants used for millennia by humans, Ancient Plants and People presents a wide-angle view of the current state of archaeobotanical research, methods, and theories. Food has a public and private role, and it permeates the life of all people in a society. Food choice, production, and distribution probably represent the most complex indicators of social life, and thus a study of foods consumed by ancient peoples reveals many clues about their lifestyles. But in addition to yielding information about food production, distribution, preparation, and consumption, plant remains recovered from archaeological sites offer precious insights on past landscapes, human adaptation to climate change, and the relationship between human groups and their environment. Revealing important aspects of past human societies, these plant-driven insights widen the spectrum of information available to archaeologists as we seek to understand our history as a biological and cultural species. Often answers raise more questions. As a result, archaeobotanists are constantly pushed to reflect on the methodological and theoretical aspects of their discipline. The contributors discuss timely methodological issues and engage in debates on a wide range of topics from plant utilization in hunter-gatherers and agriculturalists to uses of ancient DNA. Ancient Plants and People provides a global perspective on archaeobotanical research, particularly on the sophisticated interplay between the use of plants and their social or environmental context""--"
102,Archaeologies of text :,"""Examining the archaeology-text nexus from multiple perspectives, contributors to this volume discuss current theoretical and practical problems that have grown out of their work at the boundary of the division between archaeology and the study of early inscriptions. In 12 representative case-studies drawn from research in Asia, Africa, the Mediterranean, and Mesoamerica, scholars use various lenses to critically examine the interface between archaeology and the study of ancient texts, rethink the fragmentation of their various specialized disciplines, and illustrate the best in current approaches to contextual analysis""--Provided by publisher."
102,Archaeology from the sky /,"This volume records the journey by a group of renowned specialist photographers, never before made, over the pyramids of Egypt and elsewhere in the Middle East, over the sites where the great Mediterranean civlizations arose, then hovering over the architectural jewels of the ancient Mesoamerican civilizations."
102,The archaeology of underwater caves /,"This is an edited volume drawing on the last sixty years of underwater cave research, the vast majority of which has never been published previously. Underwater caves are foreboding places, but they hold great potential for archaeology due to the excellent preservation of organic artifacts found in caves. Chapters are authored by the principle researchers responsible for the development of this emerging sub-field. The volume's scope is international and spans the Paleolithic through the modern era. It will interest many archaeologists as it touches on human origins, sea level and climate change, ritual and religion, and subsistence in many different cultures. Fields outside archaeology, such as geology and paleo-environmental studies, will find aspects relevant to their research. With authors who have published popular books such as Dan Lenihan, Jean Clottes, and Nic Flemming, the book will interest divers and other members of the public as well."
102,Artificial intelligence for healthcare :,"""Healthcare has recently seen numerous exciting applications of artificial intelligence, industrial engineering, and operations research. This book, designed to be accessible to a diverse audience, provides an overview of interdisciplinary research partnerships that leverage AI, IE, and OR to tackle societal and operational problems in healthcare. The topics are drawn from a wide variety of disciplines, ranging from optimizing the location of AEDs for cardiac arrests to data mining for facilitating patient flow through a hospital. These applications highlight how engineering has contributed to medical knowledge, health system operations, and behavioral health. Chapter authors include medical doctors, policy-makers, social scientists, and engineers. Each chapter begins with a summary of the health care problem and engineering method. In these examples, researchers in public health, medicine, and social science as well as engineers will find a path to start interdisciplinary collaborations in health applications of AI/IE/OR""--"
102,Assessing and improving your teaching :,"""Don't wait for someone else to tell you what you need to do to make your teaching more effective--figure it out for yourself and invigorate your teaching on your own terms. This practical evidence-based guide promotes excellence in teaching and improved student learning through self-reflection and self-assessment of one's teaching. Phyllis Blumberg starts by reviewing the current approaches to instructor evaluation and describes their inadequacies. She then presents a new model of assessing teaching that builds upon a broader base of evidence and sources of support. This new model leads to self-assessment rubrics, which are available for download, and the book will guide you in how to use them. The book includes case studies of completed critical reflection rubrics from a variety of disciplines, including the performing and visual arts and the hard sciences, to show how they can be used in different ways and how to explore the richness of the data you'll uncover""--"
102,Becoming a brilliant trainer :,"This essential guide provides both new and established trainers with accessible, innovative and engaging strategies to create an inspirational learning environment. This professional book is suitable for early years, primary and secondary teachers, school leaders and heads of department who are supporting their teaching colleagues in schools. It offers practical advice on planning and delivering great training sessions, including suggestions on how best to share existing knowledge in a group and how to combine dialogue and written text to effectively develop ideas in the classroom. The thinking behind each idea is not only clearly explained but is accompanied with a wealth of practical strategies that can be applied to a variety of training and teaching situations. This accessible resource is designed to help busy teaching professionals motivate their colleagues and deliver effective training. Generously illustrated throughout, the book is separated into four learning phases: preparing for successful training; offering direct input through new ideas; embedding participant learning; and monitoring, evaluating and planning for the future. Becoming a Brilliant Trainer: A Teacher's Guide to Running Sessions and Engaging Learners will be an invaluable text for both trainee and qualified teachers, school leaders and all those with an interest in delivering great training sessions."
102,Boosting impact and innovation in higher education :,This book provides a practical guide to mastering The Knowledge Entrepreneur Toolkit and to establishing High Diversity Groups in universities. Both are key to universities boosting their capacity for innovation and their impact both internally and on major world issues.
