DDC,Title,Description
857,The Basic Laws of Human Stupidity,An economist explores the five laws that confirm our worst fears: stupid people can and do rule the world--
857,Allegro ma non troppo,"""An 'entertainment,' an anarchic flicker of intelligence."" This is how one might define these pages in which Cipolla casts off the austere robes of the scholar and, playing on the edge of paradox and the absurd, constructs two brief essays: the first, a hilarious parody of the economic and social history of the Middle Ages; the second, a sort of playful general theory of human stupidity.(AI generated)"
857,Non ne ho la più squallida idea,"In Smart2Smarter, learn to coach yourself and others to develop the seven SMARTER leadership to bring your social and emotional humanity into the workplace. Challenge negative thoughts, demonstrate empathy, stop tolerating people or habits that derailyour greatness and build resilience. Based on international research, career counselors, leaders, business schools, coaches and consultants have found this book invaluable. Cynthia Kivland shares her research and wisdom in a practical format that provides the knowledge, tools and actionsneeded to thrive-not just survive-in the global workplace."
857,"Circe: Consisting of Ten Dialogues between Ulysses and several men transformed into beasts, satirically representing the various passions of mankind and the many infelicities of human life","Excerpt from Circe, Translated From the Italian of John Baptist Gelli: Of the Academy of FlorenceArcbitefiure military and civil 'yet I. Jbould ratber fay, tbat Ricbes like a Catarrb or Bey'lan.About the PublisherForgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.comThis book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works."
857,Nuevo elogio del imbécil,"""The author tells us that stupidity is not an evolutionary defect but an adaptive advantage. Just as natural selection deprived our ancestors of their tails, cultural selection tends to reduce the intellectual capacities that for millennia allowed us to survive.""(AI generated)"
857,Dai retta a un cretino: dieci anni di irresistibile comicità,"'Whether you are reading between classes, during Bible study, or at two o'clock in the morning, the NIV Student Bible will bridge the culture gap between you and Moses. The combination of scholarship and simplicity will help you overcome common obstacles to reading and understanding the Bible, allowing you to absorb, comprehend, and remember. While enjoying the best days of your life, learning about anything and everything, figuring out who you are, and making big choices, let Philip Yancey and Tim Stafford guide you through lessons for godly living and help you build a strong habit of reading your Bible. NIV 2011. The New International Version (NIV) translation of the Bible is the world's most popular modern-English Bible---easy to understand, yet rich with the detail found in the original languages.'"
857,Il culo di Sacchi,"The book follows the story of a team in poor athletic and psychological condition, who reached the final of the USA World Cup without ever impressing with their play, but who relied on their coach's miraculous powers. In Sacchi's Arse (Il culo di Sacchi), this phenomenon is explained and dissected, and the reader is provided with all the elements needed to arrive at their own judgment, without forgetting the events that made that American World Cup a historic occasion: from Ape Piaggio three-wheelers used as stretchers, to the murder of Gnocchi's mother-in-law during the Italy–Nigeria match. The book is completed by an unpublished introduction by the great sports journalist Ermes Rubagotti and an afterword on the post-World Cup developments of the 'Sacchi's Arse' affair.(AI generated)"
857,Wit and wisdom of the Italian Renaissance,"This is the first ample collection of facetiae, or witty tales, from the Italian Renaissance to be published in English. Witty and wise anecdotes had been known to the ancient Greeks and Romans in the form of apothegms, but not until the Renaissance did the true facetia acquire an independent life and popularity, and begin to spread rapidly throughout Italy and beyond the Alps. The publication of Poggio Bracciolini's Liberfacetiarum was largely responsible for."
857,Revival: The Facetiae of Poggio and Other Medieval Story-tellers (1928) (Routledge Revivals),"The facetie, as a literary form, has an ancient lineage, while, if we regard it merely as a humorous tale or jocular anecdote, its history must be almost as old as the first laughs and smiles of prehistoric man. To go back no further, we may trace it in a direct line through Latin literature, to the Greek apopthegm. Facetiae, in the literary sense, are also to be found in Oriental literature, espeically the Persian and the Arabian. The Greek apopthegm and its Roman successor had a different character from the Florentine facetia, but the difference is one rather of matter than form. The ribald, licentious note is not so common in the classic facetaie, and the historical anecdotes treating of kings, princes, and persons of high estate were mostly reverent and often adulatory. Satire and disrespect appeared in the humorous tales of Poggio and his peers. The apopthegm was, as a rule, a brief narrative, as often as not enclosing a moral lesson in an historical anecdote. Or else it was the saying of some wise or great man."
857,Tempeste,Tempeste (Italian)by Ada Negri
