DDC,Title,description,remark
0,New Studies in general knowledge for young readers: Historical Development and Key Themes,"This volume introduces general knowledge for young readers, with particular attention to its historical development. It places the subject within the broader field of general works and introductory knowledge and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
36,Reading knowledge organization: Historical Development and Key Themes,"The volume brings together research on knowledge organization, with particular attention to its historical development. It places the subject within the broader field of reference works and encyclopedic knowledge and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
36,Researching reference skills: Concepts and Terminology,"The study traces reference skills, with particular attention to its major concepts and terminology. It places the subject within the broader field of reference works and encyclopedic knowledge and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
36,Contexts of visual dictionaries: Methods of Study,"This volume introduces visual dictionaries, with particular attention to its methods of study and interpretation. It places the subject within the broader field of reference works and encyclopedic knowledge and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
39,"Reading travel accounts: Texts, Practices, and Examples","The collection focuses on travel accounts, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of customs, travel, folklore, and cultural traditions and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. Short sections make the material useful to students, researchers, and general readers.",ai-generated
50,A Guide to periodical research: Methods of Study,"This collection explores periodical research, with particular attention to its methods of study and interpretation. It places the subject within the broader field of serial publications, magazines, and periodicals and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
50,"The Making of periodical research: Texts, Practices, and Examples","The volume brings together research on periodical research, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of serial publications, magazines, and periodicals and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
62,The Making of organizational history: Methods of Study,"The study traces organizational history, with particular attention to its methods of study and interpretation. It places the subject within the broader field of organizations, associations, and institutional history and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
62,"Contexts of organizational history: Texts, Practices, and Examples","This volume introduces organizational history, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of organizations, associations, and institutional history and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
62,institutional networks: Change Across Periods and Regions,"This collection explores institutional networks, with particular attention to its changes across periods and regions. It places the subject within the broader field of organizations, associations, and institutional history and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
62,Contexts of institutional networks: Connections with Related Fields,"The volume brings together research on institutional networks, with particular attention to its relationships with neighboring fields. It places the subject within the broader field of organizations, associations, and institutional history and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
63,"Approaches to ancient civilizations: Texts, Practices, and Examples","The collection focuses on ancient civilizations, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of archaeology, numismatics, and antiquities and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
65,Exploring academic societies: Connections with Related Fields,"This study examines academic societies, with particular attention to its relationships with neighboring fields. It places the subject within the broader field of libraries, museums, and cultural organizations and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
65,Researching cultural networks: Current Scholarly Debates,"The book surveys cultural networks, with particular attention to its current scholarly debates. It places the subject within the broader field of libraries, museums, and cultural organizations and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
65,The Making of cultural networks: Teaching and Introductory Use,"This accessible guide considers cultural networks, with particular attention to its teaching and introductory use. It places the subject within the broader field of libraries, museums, and cultural organizations and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
65,Critical Studies in public cultural institutions: Institutions and Communities,"The collection focuses on public cultural institutions, with particular attention to its the role of institutions and communities. It places the subject within the broader field of libraries, museums, and cultural organizations and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
65,Questions in museums and archives: Theory and Practice,"This study examines museums and archives, with particular attention to its connections between theory and practice. It places the subject within the broader field of libraries, museums, and cultural organizations and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
65,Reading cultural networks: Material and Cultural Contexts,"The book surveys cultural networks, with particular attention to its material and cultural contexts. It places the subject within the broader field of libraries, museums, and cultural organizations and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. Short sections make the material useful to students, researchers, and general readers.",ai-generated
65,Questions in professional organizations: Questions for Further Research,"This accessible guide considers professional organizations, with particular attention to its questions raised by recent research. It places the subject within the broader field of libraries, museums, and cultural organizations and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
73,Approaches to public figures: Concepts and Terminology,"This study examines public figures, with particular attention to its major concepts and terminology. It places the subject within the broader field of journalism, public communication, and military history and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. Short sections make the material useful to students, researchers, and general readers.",ai-generated
73,Contexts of news during conflict: Methods of Study,"The book surveys news during conflict, with particular attention to its methods of study and interpretation. It places the subject within the broader field of journalism, public communication, and military history and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
73,"Perspectives on news during conflict: Texts, Practices, and Examples","This accessible guide considers news during conflict, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of journalism, public communication, and military history and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
73,Reading war reporting: Change Across Periods and Regions,"The collection focuses on war reporting, with particular attention to its changes across periods and regions. It places the subject within the broader field of journalism, public communication, and military history and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
73,Exploring public figures: Connections with Related Fields,"This study examines public figures, with particular attention to its relationships with neighboring fields. It places the subject within the broader field of journalism, public communication, and military history and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
73,Contexts of war reporting: Current Scholarly Debates,"The book surveys war reporting, with particular attention to its current scholarly debates. It places the subject within the broader field of journalism, public communication, and military history and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
79,cross-cultural media in Context: Teaching and Introductory Use,"The collection focuses on cross-cultural media, with particular attention to its teaching and introductory use. It places the subject within the broader field of communication, translation, and mass media and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
79,Researching cross-cultural media: Institutions and Communities,"This study examines cross-cultural media, with particular attention to its the role of institutions and communities. It places the subject within the broader field of communication, translation, and mass media and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. Short sections make the material useful to students, researchers, and general readers.",ai-generated
79,Modern Studies in communication theory: Theory and Practice,"The book surveys communication theory, with particular attention to its connections between theory and practice. It places the subject within the broader field of communication, translation, and mass media and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
79,The Making of journalism and communication: Material and Cultural Contexts,"This accessible guide considers journalism and communication, with particular attention to its material and cultural contexts. It places the subject within the broader field of communication, translation, and mass media and explains how evidence, interpretation, and practice shape the field. While showing how established ideas continue to shape present-day scholarship and practice. Short sections make the material useful to students, researchers, and general readers.",ai-generated
79,Questions in media exchange: Questions for Further Research,"The collection focuses on media exchange, with particular attention to its questions raised by recent research. It places the subject within the broader field of communication, translation, and mass media and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
79,Perspectives on media exchange: Historical Development and Key Themes,"This study examines media exchange, with particular attention to its historical development. It places the subject within the broader field of communication, translation, and mass media and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
79,Exploring journalism and communication: Concepts and Terminology,"The book surveys journalism and communication, with particular attention to its major concepts and terminology. It places the subject within the broader field of communication, translation, and mass media and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. Taken together, the chapters provide a varied view of the field without assuming specialist knowledge.",ai-generated
118,religious metaphysics: Material and Cultural Contexts,"The study traces religious metaphysics, with particular attention to its material and cultural contexts. It places the subject within the broader field of metaphysics and philosophical questions of existence and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
118,Exploring force and causation: Questions for Further Research,"This volume introduces force and causation, with particular attention to its questions raised by recent research. It places the subject within the broader field of metaphysics and philosophical questions of existence and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
118,Exploring reason and existence: Historical Development and Key Themes,"This collection explores reason and existence, with particular attention to its historical development. It places the subject within the broader field of metaphysics and philosophical questions of existence and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. Short sections make the material useful to students, researchers, and general readers.",ai-generated
164,Approaches to decision logic: Institutions and Communities,"The volume brings together research on decision logic, with particular attention to its the role of institutions and communities. It places the subject within the broader field of logic and formal reasoning and explains how evidence, interpretation, and practice shape the field. By placing specialized questions within a broader cultural and intellectual setting. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
164,Approaches to mathematical logic: Theory and Practice,"The study traces mathematical logic, with particular attention to its connections between theory and practice. It places the subject within the broader field of logic and formal reasoning and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. Short sections make the material useful to students, researchers, and general readers.",ai-generated
164,symbolic logic in Context: Material and Cultural Contexts,"This volume introduces symbolic logic, with particular attention to its material and cultural contexts. It places the subject within the broader field of logic and formal reasoning and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
164,A Guide to logical systems: Questions for Further Research,"This collection explores logical systems, with particular attention to its questions raised by recent research. It places the subject within the broader field of logic and formal reasoning and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
182,Reading the rise of rational inquiry: Methods of Study,"The study traces the rise of rational inquiry, with particular attention to its methods of study and interpretation. It places the subject within the broader field of ancient greek philosophy and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
182,"Reading Presocratic thought: Texts, Practices, and Examples","This volume introduces presocratic thought, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of ancient greek philosophy and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
182,Contexts of Presocratic thought: Change Across Periods and Regions,"This collection explores presocratic thought, with particular attention to its changes across periods and regions. It places the subject within the broader field of ancient greek philosophy and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
182,Questions in Greek cosmology: Connections with Related Fields,"The volume brings together research on greek cosmology, with particular attention to its relationships with neighboring fields. It places the subject within the broader field of ancient greek philosophy and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
183,"Reading Socratic ethics: Texts, Practices, and Examples","The collection focuses on socratic ethics, with particular attention to its representative texts, practices, or examples. It places the subject within the broader field of socrates and socratic philosophy and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
183,The Making of Socratic irony: Change Across Periods and Regions,"This study examines socratic irony, with particular attention to its changes across periods and regions. It places the subject within the broader field of socrates and socratic philosophy and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
189,Reading cultural universals: Theory and Practice,"This accessible guide considers cultural universals, with particular attention to its connections between theory and practice. It places the subject within the broader field of modern and contemporary western philosophy and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
189,academic philosophy: Material and Cultural Contexts,"The collection focuses on academic philosophy, with particular attention to its material and cultural contexts. It places the subject within the broader field of modern and contemporary western philosophy and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. Short sections make the material useful to students, researchers, and general readers.",ai-generated
189,A Guide to philosophical interpretation: Questions for Further Research,"This study examines philosophical interpretation, with particular attention to its questions raised by recent research. It places the subject within the broader field of modern and contemporary western philosophy and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. The discussion also highlights connections with related fields and points to further avenues of study.",ai-generated
189,Exploring philosophy of education: Historical Development and Key Themes,"The book surveys philosophy of education, with particular attention to its historical development. It places the subject within the broader field of modern and contemporary western philosophy and explains how evidence, interpretation, and practice shape the field. Through a balanced discussion of evidence, methods, and competing interpretations. Examples are used throughout to clarify terminology and demonstrate how the larger themes can be applied.",ai-generated
189,Reading philosophy of education: Concepts and Terminology,"This accessible guide considers philosophy of education, with particular attention to its major concepts and terminology. It places the subject within the broader field of modern and contemporary western philosophy and explains how evidence, interpretation, and practice shape the field. With attention to the ways the subject has changed across periods, regions, and communities. Short sections make the material useful to students, researchers, and general readers.",ai-generated
189,The Making of philosophy of education: Methods of Study,"The collection focuses on philosophy of education, with particular attention to its methods of study and interpretation. It places the subject within the broader field of modern and contemporary western philosophy and explains how evidence, interpretation, and practice shape the field. By combining historical background with close discussion of representative examples. The result is a focused reference work that combines context, analysis, and practical orientation.",ai-generated
