DDC,Title,description,remark
035,Italian Encyclopedic Dictionary,"An Italian-language reference work arranged as concise entries on history, geography, science, literature, and public life.",ai-generated
035,Romanian Encyclopedia of General Knowledge,"A Romanian-language encyclopedia presenting factual entries on people, institutions, places, and major cultural subjects.",ai-generated
035,Encyclopedia of Italian Culture,A general Italian reference source covering terminology and background information across the humanities and sciences.,ai-generated
035,Italian Encyclopedia of Science and Society,"An Italian-language work emphasizing historical figures, artistic movements, political institutions, and cultural traditions.",ai-generated
035,Romanian Illustrated Encyclopedia,"A Romanian reference encyclopedia combining entries on natural sciences, geography, history, and notable individuals.",ai-generated
035,Italian Encyclopedic Dictionary - Reference Edition,"A general reference work in Italian designed for quick consultation across education, culture, and everyday knowledge.",ai-generated
035,Romanian Encyclopedia of General Knowledge - Reference Edition,"An Italian encyclopedia with entries ranging from literature and the arts to medicine, technology, and natural history.",ai-generated
035,Encyclopedia of Italian Culture - Reference Edition,A Romanian-language compendium organizing factual information about national and international subjects.,ai-generated
035,Italian Encyclopedia of Science and Society - Reference Edition,"An Italian reference collection devoted to people, places, events, concepts, and institutions of general interest.",ai-generated
035,Romanian Illustrated Encyclopedia - Reference Edition,"A broad Romanian encyclopedia providing concise explanations of scientific, historical, geographic, and cultural topics.",ai-generated
035,Italian Encyclopedic Dictionary - Research Guide,"An Italian-language encyclopedia focused on major works, historical periods, scientific discoveries, and influential figures.",ai-generated
035,Romanian Encyclopedia of General Knowledge - Research Guide,"A Romanian general-reference volume bringing together information from the humanities, social sciences, and natural sciences.",ai-generated
035,Encyclopedia of Italian Culture - Research Guide,An Italian encyclopedic guide intended to provide brief definitions and background notes for a wide range of subjects.,ai-generated
035,Italian Encyclopedia of Science and Society - Research Guide,"A Romanian-language source emphasizing cultural history, geography, biography, and general factual knowledge.",ai-generated
035,Romanian Illustrated Encyclopedia - Research Guide,"An Italian reference encyclopedia covering education, government, science, literature, and the arts.",ai-generated
035,Italian Encyclopedic Dictionary - Historical Survey,"A Romanian-language work presenting alphabetically arranged entries on people, places, ideas, and events.",ai-generated
035,Romanian Encyclopedia of General Knowledge - Historical Survey,An Italian encyclopedia combining historical and contemporary reference information for general readers.,ai-generated
035,Encyclopedia of Italian Culture - Historical Survey,"A Romanian compendium with concise articles on society, culture, science, geography, and historical developments.",ai-generated
035,Italian Encyclopedia of Science and Society - Historical Survey,An Italian-language reference source treating both practical subjects and major fields of academic knowledge.,ai-generated
035,Romanian Illustrated Encyclopedia - Historical Survey,"A Romanian encyclopedia organized for rapid consultation of facts concerning culture, history, science, and society.",ai-generated
035,Italian Encyclopedic Dictionary - Annotated Guide,"An Italian general encyclopedia giving contextual information about institutions, discoveries, artistic works, and historical events.",ai-generated
035,Romanian Encyclopedia of General Knowledge - Annotated Guide,A Romanian-language reference work covering national culture alongside international scientific and historical subjects.,ai-generated
035,Encyclopedia of Italian Culture - Annotated Guide,"An Italian encyclopedic collection emphasizing definitions, biographies, geographic information, and historical explanations.",ai-generated
035,Italian Encyclopedia of Science and Society - Annotated Guide,"A Romanian general-reference source bringing together entries from literature, arts, science, geography, and public affairs.",ai-generated
035,Romanian Illustrated Encyclopedia - Annotated Guide,"An Italian-language encyclopedia offering compact articles on concepts, personalities, places, and important events.",ai-generated
035,Italian Encyclopedic Dictionary - Study Edition,"A Romanian reference collection intended to connect historical facts with cultural, scientific, and geographic information.",ai-generated
035,Romanian Encyclopedia of General Knowledge - Study Edition,"An Italian encyclopedia spanning the arts, humanities, social sciences, and natural sciences in concise entries.",ai-generated
035,Encyclopedia of Italian Culture - Study Edition,"A Romanian-language compendium of general knowledge with entries on institutions, personalities, regions, and discoveries.",ai-generated
035,Italian Encyclopedia of Science and Society - Study Edition,"An Italian reference work designed for factual consultation across history, culture, science, geography, and society.",ai-generated
035,Romanian Illustrated Encyclopedia - Study Edition,A Romanian encyclopedia presenting a wide range of concise factual articles for general reference.,ai-generated
037,Russian Encyclopedia of General Knowledge,"A Russian-language encyclopedia presenting entries on history, geography, science, literature, and public institutions.",ai-generated
037,Polish Encyclopedia,"A Polish general encyclopedia covering people, places, historical events, scientific subjects, and cultural life.",ai-generated
037,Czech Encyclopedia of Knowledge,"A Czech-language reference work organizing factual information about the humanities, sciences, arts, and society.",ai-generated
037,Ukrainian General Encyclopedia,"An encyclopedia in Ukrainian devoted to historical figures, geographic regions, institutions, and cultural subjects.",ai-generated
037,Slavic Encyclopedia of Culture and History,"A Russian reference source emphasizing scientific concepts, technological developments, and important discoveries.",ai-generated
037,Russian Encyclopedia of General Knowledge - Reference Edition,"A Polish-language compendium focused on literature, art, music, historical periods, and prominent cultural figures.",ai-generated
037,Polish Encyclopedia - Reference Edition,"A Czech general-reference encyclopedia with concise articles on natural science, geography, and historical topics.",ai-generated
037,Czech Encyclopedia of Knowledge - Reference Edition,"An encyclopedia in Ukrainian covering social institutions, national history, geography, and notable personalities.",ai-generated
037,Ukrainian General Encyclopedia - Reference Edition,"A Russian-language work combining articles on political history, culture, science, and significant places.",ai-generated
037,Slavic Encyclopedia of Culture and History - Reference Edition,"A Polish encyclopedia providing factual entries on the natural world, medicine, education, and technology.",ai-generated
037,Russian Encyclopedia of General Knowledge - Research Guide,"A Czech reference collection devoted to historical events, biographies, artistic works, and cultural traditions.",ai-generated
037,Polish Encyclopedia - Research Guide,"An encyclopedia in Ukrainian presenting concise information on science, geography, history, and the arts.",ai-generated
037,Czech Encyclopedia of Knowledge - Research Guide,"A Russian general encyclopedia designed for consultation of concepts, personalities, places, and major events.",ai-generated
037,Ukrainian General Encyclopedia - Research Guide,"A Polish-language reference work spanning social sciences, literature, history, geography, and natural sciences.",ai-generated
037,Slavic Encyclopedia of Culture and History - Research Guide,A Czech encyclopedic source emphasizing national culture alongside broader European and scientific subjects.,ai-generated
037,Russian Encyclopedia of General Knowledge - Historical Survey,"An Ukrainian-language compendium of historical, geographic, scientific, and cultural information.",ai-generated
037,Polish Encyclopedia - Historical Survey,A Russian reference encyclopedia with entries ranging from philosophy and literature to technology and natural history.,ai-generated
037,Czech Encyclopedia of Knowledge - Historical Survey,"A Polish general encyclopedia organizing information about institutions, historical figures, discoveries, and regions.",ai-generated
037,Ukrainian General Encyclopedia - Historical Survey,"A Czech-language work offering concise explanations of scientific terms, cultural movements, and historical developments.",ai-generated
037,Slavic Encyclopedia of Culture and History - Historical Survey,"An Ukrainian encyclopedia combining biographical, geographic, historical, and social information.",ai-generated
037,Russian Encyclopedia of General Knowledge - Annotated Guide,"A Russian-language reference collection devoted to major events, personalities, institutions, and scientific concepts.",ai-generated
037,Polish Encyclopedia - Annotated Guide,"A Polish encyclopedia presenting accessible entries on culture, society, science, geography, and history.",ai-generated
037,Czech Encyclopedia of Knowledge - Annotated Guide,"A Czech general reference source covering artistic traditions, literature, historical periods, and scientific knowledge.",ai-generated
037,Ukrainian General Encyclopedia - Annotated Guide,"An Ukrainian-language encyclopedia providing factual articles on people, places, institutions, and cultural heritage.",ai-generated
037,Slavic Encyclopedia of Culture and History - Annotated Guide,A Russian compendium intended for rapid consultation of general knowledge across many disciplines.,ai-generated
037,Russian Encyclopedia of General Knowledge - Study Edition,"A Polish-language reference work connecting historical information with literature, science, geography, and public life.",ai-generated
037,Polish Encyclopedia - Study Edition,"A Czech encyclopedia with concise entries on important personalities, events, concepts, and places.",ai-generated
037,Czech Encyclopedia of Knowledge - Study Edition,"An Ukrainian general-reference collection covering national history alongside science, culture, and geography.",ai-generated
037,Ukrainian General Encyclopedia - Study Edition,A Russian encyclopedia emphasizing the classification and explanation of concepts across humanities and sciences.,ai-generated
037,Slavic Encyclopedia of Culture and History - Study Edition,"A Polish-language general encyclopedia offering broad factual coverage of culture, history, society, and science.",ai-generated
038,Swedish Encyclopedia,"A Swedish-language encyclopedia covering history, geography, science, culture, and notable people.",ai-generated
038,Danish Encyclopedia of General Knowledge,"A Danish general encyclopedia presenting factual entries on institutions, historical events, places, and society.",ai-generated
038,Norwegian Encyclopedia,"A Norwegian reference work covering literature, natural science, geography, and important historical figures.",ai-generated
038,Scandinavian Encyclopedia of Culture,"An Icelandic-language encyclopedia devoted to culture, history, geography, and general knowledge.",ai-generated
038,Icelandic Encyclopedia of Knowledge,"A Swedish compendium emphasizing scientific discoveries, technology, medicine, and natural history.",ai-generated
038,Swedish Encyclopedia - Reference Edition,"A Danish-language reference source focusing on literature, arts, music, and cultural institutions.",ai-generated
038,Danish Encyclopedia of General Knowledge - Reference Edition,"A Norwegian encyclopedia organizing entries on political history, society, geography, and public institutions.",ai-generated
038,Norwegian Encyclopedia - Reference Edition,"An Icelandic reference collection presenting concise information about national culture, historical events, and geography.",ai-generated
038,Scandinavian Encyclopedia of Culture - Reference Edition,"A Swedish general encyclopedia combining biographical, scientific, historical, and geographic information.",ai-generated
038,Icelandic Encyclopedia of Knowledge - Reference Edition,"A Danish reference work covering education, social institutions, cultural history, and notable personalities.",ai-generated
038,Swedish Encyclopedia - Research Guide,"A Norwegian-language compendium emphasizing natural sciences, environmental subjects, and geographic knowledge.",ai-generated
038,Danish Encyclopedia of General Knowledge - Research Guide,"An Icelandic encyclopedia with entries on literature, folklore, historical figures, and cultural traditions.",ai-generated
038,Norwegian Encyclopedia - Research Guide,"A Swedish-language source designed for quick consultation of concepts, places, people, and major events.",ai-generated
038,Scandinavian Encyclopedia of Culture - Research Guide,"A Danish general reference encyclopedia spanning the humanities, social sciences, sciences, and arts.",ai-generated
038,Icelandic Encyclopedia of Knowledge - Research Guide,"A Norwegian reference work presenting concise articles on history, technology, literature, and public life.",ai-generated
038,Swedish Encyclopedia - Historical Survey,An Icelandic-language encyclopedia combining national history with broader scientific and cultural subjects.,ai-generated
038,Danish Encyclopedia of General Knowledge - Historical Survey,"A Swedish encyclopedic collection focused on historical developments, institutions, artistic works, and scientific ideas.",ai-generated
038,Norwegian Encyclopedia - Historical Survey,"A Danish compendium of factual entries concerning people, regions, discoveries, and cultural heritage.",ai-generated
038,Scandinavian Encyclopedia of Culture - Historical Survey,"A Norwegian general encyclopedia covering society, geography, history, literature, and natural science.",ai-generated
038,Icelandic Encyclopedia of Knowledge - Historical Survey,"An Icelandic reference source providing accessible articles on people, places, events, and cultural subjects.",ai-generated
038,Swedish Encyclopedia - Annotated Guide,"A Swedish-language encyclopedia with broad coverage of science, culture, history, and social institutions.",ai-generated
038,Danish Encyclopedia of General Knowledge - Annotated Guide,"A Danish reference collection emphasizing biographies, historical periods, geography, and the arts.",ai-generated
038,Norwegian Encyclopedia - Annotated Guide,"A Norwegian-language encyclopedia bringing together information from science, literature, history, and society.",ai-generated
038,Scandinavian Encyclopedia of Culture - Annotated Guide,"An Icelandic general-reference work focused on national culture, geography, history, and important personalities.",ai-generated
038,Icelandic Encyclopedia of Knowledge - Annotated Guide,"A Swedish compendium intended for factual consultation across education, public affairs, science, and culture.",ai-generated
038,Swedish Encyclopedia - Study Edition,"A Danish encyclopedia offering concise entries on major events, institutions, scientific subjects, and artistic works.",ai-generated
038,Danish Encyclopedia of General Knowledge - Study Edition,"A Norwegian reference source combining geographic, historical, scientific, and biographical information.",ai-generated
038,Norwegian Encyclopedia - Study Edition,"An Icelandic-language encyclopedia presenting general knowledge through entries on culture, nature, history, and society.",ai-generated
038,Scandinavian Encyclopedia of Culture - Study Edition,A Swedish general encyclopedia covering both academic subjects and practical areas of public knowledge.,ai-generated
038,Icelandic Encyclopedia of Knowledge - Study Edition,"A Danish-language reference work providing broad factual coverage of history, science, culture, and geography.",ai-generated
053,German Serial Review,A German-language periodical devoted to recurring reports on historical research and archival discoveries.,ai-generated
053,Dutch Historical Quarterly,"A Dutch serial publishing regular studies of literature, criticism, and contemporary cultural affairs.",ai-generated
053,Swedish Scientific Serial,"A German scientific journal presenting successive research articles, technical reports, and scholarly notices.",ai-generated
053,German Cultural Journal,"A Swedish-language serial featuring recurring essays on history, society, and cultural life.",ai-generated
053,Dutch Arts and Letters Review,A Dutch historical periodical combining research articles with reviews of newly published historical works.,ai-generated
053,German Serial Review - Reference Edition,"A German arts journal presenting continuing criticism, exhibition reports, and discussions of artistic practice.",ai-generated
053,Dutch Historical Quarterly - Reference Edition,A Danish serial publishing recurring studies of social institutions and public policy.,ai-generated
053,Swedish Scientific Serial - Reference Edition,"A German-language medical periodical containing regular research reports, clinical discussions, and professional notices.",ai-generated
053,German Cultural Journal - Reference Edition,"A Dutch literary serial featuring essays on authors, books, literary movements, and criticism.",ai-generated
053,Dutch Arts and Letters Review - Reference Edition,A Swedish academic journal publishing continuing research in the humanities and social sciences.,ai-generated
053,German Serial Review - Research Guide,"A German cultural periodical with recurring articles on music, theatre, literature, and visual arts.",ai-generated
053,Dutch Historical Quarterly - Research Guide,"A Dutch scientific serial presenting research findings, technical observations, and scholarly correspondence.",ai-generated
053,Swedish Scientific Serial - Research Guide,"A German historical review carrying regular articles on political, economic, and social history.",ai-generated
053,German Cultural Journal - Research Guide,"A Swedish-language journal devoted to recurring discussions of literature, language, and cultural history.",ai-generated
053,Dutch Arts and Letters Review - Research Guide,"A Dutch social-science periodical publishing studies of institutions, communities, and public life.",ai-generated
053,German Serial Review - Historical Survey,"A German-language serial focused on education, pedagogy, and developments in schools and universities.",ai-generated
053,Dutch Historical Quarterly - Historical Survey,A Swedish scientific periodical containing recurring reports on natural science and environmental research.,ai-generated
053,Swedish Scientific Serial - Historical Survey,"A Dutch arts and humanities journal publishing criticism, historical essays, and reviews.",ai-generated
053,German Cultural Journal - Historical Survey,"A German scholarly serial combining research papers, bibliographic notices, and academic commentary.",ai-generated
053,Dutch Arts and Letters Review - Historical Survey,"A Swedish cultural journal presenting continuing coverage of literature, music, art, and heritage.",ai-generated
053,German Serial Review - Annotated Guide,"A Dutch-language periodical devoted to historical documents, archival notes, and research discussions.",ai-generated
