DDC,Title,description
17,Critical readings on Tang China /,"The Tang dynasty, lasting from 618 to 907, was the high point of medieval Chinese history, featuring unprecedented achievements in governmental organization, economic and territorial expansion, literature, the arts, and religion. Many Tang practices continued, with various developments, to influence Chinese society for the next thousand years. For these and other reasons the Tang has been a key focus of Western sinologists. This volume presents English-language reprints of fifty-seven critical studies of the Tang, in the three general categories of political history, literature and cultural history, and religion. The articles and book chapters included here are important scholarly benchmarks that will serve as the starting-point for anyone interested in the study of medieval China."
17,The destruction of the medieval Chinese aristocracy /,"""Tackett resolves the enigma of the complete disappearance by the tenth century of the medieval Chinese aristocracy, analyzing a dazzling array of sources to demonstrate that the great Tang aristocratic families were far more successful than previously believed in adapting to the many transformations of the seventh and eighth centuries""--"
17,Emperor Ruizong of Tang /,"High Quality Content by WIKIPEDIA articles! Emperor Ruizong of Tang (22 June 662- 13 July 716), personal name Li Dàn, known at times during his life as Li Xulun, Li Lun, Wu Lun, and Wu Dan, was the fifth and ninth emperor of Tang Dynasty. He was the eighth son of Emperor Gaozong and the fourth son of Emperor Gaozong''s second wife Empress Wu (later known as Wu Zetian)."
17,The formation of the English kingdom in the tenth century /,"The central argument of The Formation of the English Kingdom in the Tenth Century is that the English kingdom which existed at the time of the Norman Conquest was defined by the geographical parameters of a set of administrative reforms implemented in the mid- to late tenth century, and not by a vision of English unity going back to Alfred the Great (871-899)."
17,Inter-religious court debates in the early tang dynasty :,"""Public debate between representatives of different teachings was an important element in the formation of medieval intellectual culture; but documentation is scarce. Daoxuan's reports are unique as they afford us a vivid glimpse on the debates held at the courts of the early Tang, including philosophical exchanges, jokes, and lively polemics. The reports are part of Buddhist apologetic literature, and thus important documents relating to the introduction and adaptation of Buddhism in China. Their specific nature provides valuable insight into the institution of such debates and their development through interaction of Buddhist and autochthonous forms of intellectual and agonistic debate""--"
17,Interculturality in higher education :,"""Engaging with the topic of critical intercultural education at tertiary level, the book aims to strengthen what critical intercultural communication means and facilitate its implementation in higher education classrooms. With contributors coming from a variety of educational contexts and disciplines, the book provides a versatile and comprehensive picture of how intercultural communication can be approached in different fields. By offering a reflection on theoretical frameworks for teaching and learning critical intercultural communication, it bridges the gap between theory and practice in recent years. Furthermore, it proposes concrete pedagogical solutions that will help educators working at the tertiary level move from essentialist approaches to meaningful intercultural education. Higher education teachers, lecturers and professors responsible for the design and delivery of teaching on intercultural communication will find this book helpful and resourceful""--"
17,Sui-Tang China and its Turko-Mongol neighbors :,"Sui-Tang China and Its Turko-Mongol Neighbors challenges readers to reconsider China's relations with the rest of Eurasia. Investigating interstate competition and cooperation between the successive Sui and Tang dynasties and Turkic states of Mongolia from 580 to 800, Jonathan Skaff upends the notion that inhabitants of China and Mongolia were irreconcilably different and hostile to each other. Rulers on both sides deployed strikingly similar diplomacy, warfare, ideologies of rulership, and patrimonial political networking to seek hegemony over each other and the peoples living in the pastoral borderlands between them. The book particularly disputes the supposed uniqueness of imperial China's tributary diplomacy by demonstrating that similar customary norms of interstate relations existed in a wide sphere in Eurasia as far west as Byzantium, India, and Iran. These previously unrecognized cultural connections, therefore, were arguably as much the work of Turko-Mongol pastoral nomads traversing the Eurasian steppe as the more commonly recognized Silk Road monks and merchants. This interdisciplinary and multi-perspective study will appeal to readers of comparative and world history, especially those interested in medieval warfare, diplomacy, and cultural studies. show less"
17,To rebuild the empire :,"Provides both a biography of the pivotal T'ang Dynasty figure Lu Chih and an intellectual history of his era, which is instrumental in the revival and transformation of Confucianism."
17,The writing of official history under the T'ang /,"This book describes how the Chinese government, between about 620 and 850, developed an official organization designed to select, process, and edit material for inclusion in official historical works eventually to be incorporated in an official history of the dynasty. The process is important because of the dependence of modern historians on the evidence contained in the official histories, and the consequent need to subject it to close critical scrutiny, so that we can counterbalance the biases of its authors. The first part of the book gives a detailed account of the establishment of the official apparatus designed to produce a record of the T'ang dynasty, which would remain standard for more than a millennium, with some analysis of the individuals who served in these offices. The second part gives all available detail about the various works produced by this apparatus, divided among its various genres, and listing all known titles, their authorship, and their relationships to one another. The third part shows, through a close textual analysis of the surviving Chiu T'ang shu, the cumulative process by which a dynastic history came into being, and the way in which we can detect various elements in the completed history. There is no comparable work in any language, including Chinese."
69,The art of museum exhibitions :,"""Leslie Bedford, former director of the highly regarded Bank Street College museum leadership program, expands the museum professional's vision of exhibitions beyond the simple goal of transmitting knowledge to the visitor. Her view of exhibitions as interactive, emotional, embodied, imaginative experiences opens a new vista for those designing them. Using examples both from her own work at the Boston Children's Museum and from other institutions around the globe, Bedford offers the museum professional a bold new vision built around narrative, imagination, and aesthetics, merging the work of the educator with that of the artist. It is important reading for all museum professionals""--"
69,Artifacts and allegiances :,"""What can we learn about nationalism by looking at a country's cultural institutions? How do the history and culture of particular cities help explain how museums represent diversity? Artifacts and Allegiances takes us around the world to tell the compelling story of how museums today are making sense of immigration and globalization. Based on firsthand conversations with museum directors, curators, and policymakers; descriptions of current and future exhibitions; and the inside stories about the famous paintings and iconic objects that define collections across the globe, this work provides a close-up view of how different kinds of institutions balance nationalism and cosmpolitanism. By comparing museums in Europe, the United States, Asia, and the Middle East, Peggy Levitt offers a fresh perspective on the role of the museum in shaping citizens. Taken together, these accounts tell the fascinating story of a sea change underway in the museum world at large""--Provided by publisher."
69,The British Museum :,"Canaanites explores the ancient population of the Western Levant (Israel, Transjordan, Lebanon, and coastal Syria), examining the development of its distinctive culture from the early farming communities of the eighth millennium B.C. to the fragmentation of its social and cultural ideals in the latter half of the first millennium B.C. Jonathan N. Tubb makes judicious use of the Hebrew Bible in describing Canaanite culture. He views the Bible as a rich resource for understanding the literary and theological heritage of Israel, which he classifies as a subculture of Canaan. At the same time he reveals the limitations of the Bible as a historical document, arguing that to reconstruct the Canaanites' history we must first look at the archaeological data. Tubb stresses the continuity of Canaanite civilization, portraying events such as the imposition of Egyptian imperial rule and the development of historical Israel as episodic interruptions."
69,Cabinets for the curious :,"The last few years has, within museums, witnessed nothing short of a revolution. Worried that the very institution was itself in danger of becoming a dusty, forgotten, culturally irrelevant exhibit, vigorous efforts have been made to reshape the museum mission. Fearing that history was coming to be ignored by modern society, many institutions have instead marketed a de-intellectualised heritage, overly relying on computer technology to captivate a contemporary audience. The theme of this work is that we can do much to reassess the rationale that inspires contemporary collections through a study of seventeenth century museums. England's first museums were quite literally wonderful; founded that is on the disciplined application of the faculty of wonder. The type of wonder employed was not that post-Romantic idea of disbelief, but rather an active form of curiosity developed during the Renaissance, particularly by the individuals who set about gathering objects and founding museums to further their enquiries. The argument put forward in this book is that this museological practice of using objects actually to create, as well as disseminate knowledge makes just as much sense today as it did in the seventeenth century and, further, that the best way of reinvigorating contemporary museums, is to return to that form of wonder. By taking such a comparative approach, this book works both as a scholarly historical text, and as an historically informed analysis of the key issues facing today's museums. As such, it will prove essential reading both for historians of collecting and museums, and for anyone interested in the philosophies of modern museum management."
69,Civilizing the museum :,"Written over a thirty-five year career, the essays in Civilizing the Museum introduce students to the powerful, sometimes contested, and often unrealized notion that museums should welcome all because they house the collective memory of all. Drawing on her experience working in and with museums in the US and throughout the world, Author Elaine Heumann Gurian explores the possibilities for making museums more central and relevant to society."
